"activity" "subject_id" "features" "average_value"
"LAYING" 1 "tBodyAcc_mean_X" 0.22159824394
"SITTING" 1 "tBodyAcc_mean_X" 0.261237565425532
"STANDING" 1 "tBodyAcc_mean_X" 0.278917629056604
"WALKING" 1 "tBodyAcc_mean_X" 0.277330758736842
"WALKING_DOWNSTAIRS" 1 "tBodyAcc_mean_X" 0.289188320408163
"WALKING_UPSTAIRS" 1 "tBodyAcc_mean_X" 0.255461689622641
"LAYING" 2 "tBodyAcc_mean_X" 0.281373403958333
"SITTING" 2 "tBodyAcc_mean_X" 0.27708735173913
"STANDING" 2 "tBodyAcc_mean_X" 0.277911472222222
"WALKING" 2 "tBodyAcc_mean_X" 0.276426586440678
"WALKING_DOWNSTAIRS" 2 "tBodyAcc_mean_X" 0.27761534806383
"WALKING_UPSTAIRS" 2 "tBodyAcc_mean_X" 0.247164790395833
"LAYING" 3 "tBodyAcc_mean_X" 0.275516852741935
"SITTING" 3 "tBodyAcc_mean_X" 0.257197599134615
"STANDING" 3 "tBodyAcc_mean_X" 0.280046513278689
"WALKING" 3 "tBodyAcc_mean_X" 0.275567462068966
"WALKING_DOWNSTAIRS" 3 "tBodyAcc_mean_X" 0.292423484693878
"WALKING_UPSTAIRS" 3 "tBodyAcc_mean_X" 0.260819873067797
"LAYING" 4 "tBodyAcc_mean_X" 0.263559214981481
"SITTING" 4 "tBodyAcc_mean_X" 0.27153827992
"STANDING" 4 "tBodyAcc_mean_X" 0.280499745892857
"WALKING" 4 "tBodyAcc_mean_X" 0.278582015166667
"WALKING_DOWNSTAIRS" 4 "tBodyAcc_mean_X" 0.279965329555556
"WALKING_UPSTAIRS" 4 "tBodyAcc_mean_X" 0.270876696730769
"LAYING" 5 "tBodyAcc_mean_X" 0.278334325576923
"SITTING" 5 "tBodyAcc_mean_X" 0.273694139545455
"STANDING" 5 "tBodyAcc_mean_X" 0.282544390892857
"WALKING" 5 "tBodyAcc_mean_X" 0.27784234625
"WALKING_DOWNSTAIRS" 5 "tBodyAcc_mean_X" 0.29354392712766
"WALKING_UPSTAIRS" 5 "tBodyAcc_mean_X" 0.268459469914894
"LAYING" 6 "tBodyAcc_mean_X" 0.248656520140351
"SITTING" 6 "tBodyAcc_mean_X" 0.276778487454545
"STANDING" 6 "tBodyAcc_mean_X" 0.280346248596491
"WALKING" 6 "tBodyAcc_mean_X" 0.283658868070175
"WALKING_DOWNSTAIRS" 6 "tBodyAcc_mean_X" 0.277045258145833
"WALKING_UPSTAIRS" 6 "tBodyAcc_mean_X" 0.268229355098039
"LAYING" 7 "tBodyAcc_mean_X" 0.250176694038462
"SITTING" 7 "tBodyAcc_mean_X" 0.284674637291667
"STANDING" 7 "tBodyAcc_mean_X" 0.282723539433962
"WALKING" 7 "tBodyAcc_mean_X" 0.275592961754386
"WALKING_DOWNSTAIRS" 7 "tBodyAcc_mean_X" 0.28030708
"WALKING_UPSTAIRS" 7 "tBodyAcc_mean_X" 0.248706923078431
"LAYING" 8 "tBodyAcc_mean_X" 0.261254282907407
"SITTING" 8 "tBodyAcc_mean_X" 0.267491472934783
"STANDING" 8 "tBodyAcc_mean_X" 0.279620986111111
"WALKING" 8 "tBodyAcc_mean_X" 0.27468631
